0, 0.05263158, 1, 0.55, 0.4, 0.92, 0.1, 0, 0, 0, 0, 0, 0.55, 0.45, 0.76, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 1, 0.55, 0.35, 0.76, 0.1, 0, 0, 0, 0, 0, 0.55, 0.4, 0.88, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 0, 0.55, 0.4, 0.88, 0.1, 1, 0, 0, 0, 1, 0.55, 0.35, 0.76, 0.1, 0, 0, 0, 0	0	-2,0,2
0, 0.05263158, 0, 0.55, 0.35, 0.76, 0.1, 0, 0, 0, 0, 1, 0.55, 0.4, 0.72, 0.1, 1, 0, 0, 0	0	4,-2,0
0, 0.05263158, 1, 0.55, 0.4, 0.72, 0.1, 1, 0, 0, 0, 0, 0.55, 0.35, 0.76, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.5, 0.4, 0.76, 0.1, 0, 0, 0, 0, 0, 0.55, 0.4, 0.56, 0.1, 1, 0, 0, 0	0	4,-2,0
0.05263158, 0, 0, 0.55, 0.4, 0.56, 0.1, 1, 0, 0, 0, 1, 0.5, 0.4, 0.76, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.5, 0.4, 0.6, 0.1, 0, 0, 0, 0, 1, 0.45, 0.4, 0.56, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.45, 0.4, 0.56, 0.1, 0, 0, 0, 0, 0, 0.5, 0.4, 0.6, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 1, 0.45, 0.35, 0.6, 0.1, 0, 0, 0, 0, 0, 0.45, 0.4, 0.56, 0.15, 0, 0, 0, 0	1	4,-2,0
0, 0.05263158, 0, 0.45, 0.4, 0.56, 0.15, 0, 0, 0, 0, 1, 0.45, 0.35, 0.6, 0.1, 0, 0, 0, 0	2	-2,0,2
0, 0.05263158, 0, 0.45, 0.35, 0.56, 0.1, 0, 0, 0, 0, 1, 0.45, 0.3, 0.52, 0.15, 1, 0, 0, 0	1	-1,1,-6
0, 0.05263158, 1, 0.45, 0.3, 0.52, 0.15, 1, 0, 0, 0, 0, 0.45, 0.35, 0.56, 0.1, 0, 0, 0, 0	0	-1,0,1
0.05263158, 0, 1, 0.4, 0.3, 0.56, 0.1, 0, 0, 0, 0, 0, 0.45, 0.3, 0.36, 0.15, 1, 0, 0, 0	0	4,-1,1
0.05263158, 0, 0, 0.45, 0.3, 0.36, 0.15, 1, 0, 0, 0, 1, 0.4, 0.3, 0.56, 0.1, 0, 0, 0, 0	2	1,2,-4
0.05263158, 0, 0, 0.4, 0.3, 0.56, 0.05, 0, 0, 0, 0, 1, 0.45, 0.3, 0.36, 0.1, 1, 0, 0, 0	2	4,-1,1
0.05263158, 0, 1, 0.45, 0.3, 0.36, 0.1, 1, 0, 0, 0, 0, 0.4, 0.3, 0.56, 0.05, 0, 0, 0, 0	2	6,-2,-1
0, 0.05263158, 1, 0.45, 0.25, 0.56, 0.05, 0, 0, 0, 0, 0, 0.45, 0.3, 0.36, 0.15, 0, 0, 0, 0	1	2,-1,-1
0, 0.05263158, 0, 0.45, 0.3, 0.36, 0.15, 0, 0, 0, 0, 1, 0.45, 0.25, 0.56, 0.05, 0, 0, 0, 0	2	-2,0,1
0, 0.05263158, 0, 0.45, 0.25, 0.52, 0.05, 0, 0, 0, 0, 1, 0.45, 0.2, 0.32, 0.15, 1, 0, 0, 0	1	-2,1,-6
0, 0.05263158, 1, 0.45, 0.2, 0.32, 0.15, 1, 0, 0, 0, 0, 0.45, 0.25, 0.52, 0.05, 0, 0, 0, 0	0	-1,0,2
0.1578947, 0, 1, 0.35, 0.2, 0.52, 0.05, 0, 0, 0, 0, 0, 0.5, 0.2, 0.32, 0.15, 1, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.5, 0.2, 0.32, 0.15, 1, 0, 0, 0, 1, 0.35, 0.2, 0.52, 0.05, 0, 0, 0, 0	1	-1,0,2
0, 0.05263158, 1, 0.5, 0.25, 0.4, 0.05, 0, 0, 0, 0, 0, 0.5, 0.2, 0.28, 0.15, 0, 0, 0, 0	0	-2,1,-6
0, 0.05263158, 0, 0.5, 0.2, 0.28, 0.15, 0, 0, 0, 0, 1, 0.5, 0.25, 0.4, 0.05, 0, 0, 0, 0	0	2,2,-2
0.05263158, 0, 0, 0.5, 0.25, 0.4, 0.05, 0, 0, 0, 0, 1, 0.55, 0.25, 0.2, 0.15, 0, 0, 0, 0	0	2,-2,-2
0.05263158, 0, 1, 0.55, 0.25, 0.2, 0.15, 0, 0, 0, 0, 0, 0.5, 0.25, 0.4, 0.05, 0, 0, 0, 0	2	2,2,-2
0, 0.1578947, 1, 0.55, 0.35, 0.4, 0.05, 0, 0, 0, 0, 0, 0.55, 0.2, 0.2, 0.15, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.55, 0.2, 0.2, 0.15, 0, 0, 0, 0, 1, 0.55, 0.35, 0.4, 0.05, 0, 0, 0, 0	1	-1,0,2
0, 0.05263158, 0, 0.55, 0.35, 0.28, 0.05, 0, 0, 0, 0, 1, 0.55, 0.3, 0.16, 0.15, 0, 0, 0, 0	0	-2,1,-6
0, 0.05263158, 1, 0.55, 0.3, 0.16, 0.15, 0, 0, 0, 0, 0, 0.55, 0.35, 0.28, 0.05, 0, 0, 0, 0	0	2,2,-2
0.05263158, 0, 1, 0.6, 0.3, 0.24, 0.05, 1, 0, 0, 0, 0, 0.55, 0.3, 0.16, 0.15, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 0, 0.55, 0.3, 0.16, 0.15, 0, 0, 0, 0, 1, 0.6, 0.3, 0.24, 0.05, 1, 0, 0, 0	1	2,2,-2
0.05263158, 0, 0, 0.6, 0.3, 0, 0.05, 1, 0, 0, 0, 1, 0.65, 0.3, 0.16, 0.15, 0, 0, 0, 0	2	-2,1,-6
0.05263158, 0, 1, 0.65, 0.3, 0.16, 0.15, 0, 0, 0, 0, 0, 0.6, 0.3, 0, 0.05, 1, 0, 0, 0	0	6,-2,2
0.05263158, 0, 1, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.84, 0.1, 0, 0, 0, 0	0	4,-2,0
0.05263158, 0, 0, 0.55, 0.5, 0.84, 0.1, 0, 0, 0, 0, 1, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0, 1, 0.65, 0.5, 0.68, 0.1, 0, 0, 0, 0	0	4,-2,0
0.05263158, 0, 1, 0.65, 0.5, 0.68, 0.1, 0, 0, 0, 0, 0, 0.6, 0.5, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.65, 0.55, 0.92, 0.1, 0, 0, 0, 0, 0, 0.65, 0.5, 0.6, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 0, 0.65, 0.5, 0.6, 0.1, 0, 0, 0, 0, 1, 0.65, 0.55, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 0, 0.65, 0.55, 0.92, 0.1, 0, 0, 0, 0, 1, 0.7, 0.55, 0.44, 0.1, 0, 0, 0, 0	0	4,-2,0
0.05263158, 0, 1, 0.7, 0.55, 0.44, 0.1, 0, 0, 0, 0, 0, 0.65, 0.55, 0.92, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 1, 0.7, 0.5, 0.92, 0.1, 0, 0, 0, 0, 0, 0.7, 0.55, 0.28, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.7, 0.55, 0.28, 0.1, 0, 0, 0, 0, 1, 0.7, 0.5, 0.92, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.7, 0.5, 0.84, 0.1, 0, 0, 0, 0, 1, 0.7, 0.45, 0.2, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.7, 0.45, 0.2, 0.1, 0, 0, 0, 0, 0, 0.7, 0.5, 0.84, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.7, 0.4, 0.84, 0.1, 0, 0, 0, 0, 0, 0.7, 0.45, 0.04, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.7, 0.45, 0.04, 0.1, 0, 0, 0, 0, 1, 0.7, 0.4, 0.84, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.7, 0.4, 0.8, 0.1, 1, 0, 0, 0, 1, 0.75, 0.4, 0.04, 0.1, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 1, 0.75, 0.4, 0.04, 0.1, 0, 0, 0, 0, 0, 0.7, 0.4, 0.8, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.7, 0.4, 0.8, 0.1, 1, 0, 0, 0, 0, 0.75, 0.4, 0, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.75, 0.4, 0, 0.1, 1, 0, 0, 0, 1, 0.7, 0.4, 0.8, 0.1, 1, 0, 0, 0	0	-2,0,2
0.05263158, 0, 1, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 0, 0.55, 0.5, 0.92, 0.1, 0, 0, 0, 0, 1, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 0, 0.6, 0.5, 0.88, 0.1, 1, 0, 0, 0, 1, 0.6, 0.55, 0.92, 0.1, 0, 0, 0, 0	0	-2,0,2
0, 0.05263158, 1, 0.6, 0.55, 0.92, 0.1, 0, 0, 0, 0, 0, 0.6, 0.5, 0.88, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.1578947, 1, 0.6, 0.45, 0.88, 0.1, 1, 0, 0, 0, 0, 0.6, 0.6, 0.92, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.6, 0.6, 0.92, 0.1, 0, 0, 0, 0, 1, 0.6, 0.45, 0.88, 0.1, 1, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.6, 0.4, 0.88, 0.1, 1, 0, 0, 0, 1, 0.6, 0.55, 0.92, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.6, 0.55, 0.92, 0.1, 0, 0, 0, 0, 0, 0.6, 0.4, 0.88, 0.1, 1, 0, 0, 0	1	-2,0,2
0.05263158, 0, 1, 0.55, 0.55, 0.8, 0.1, 0, 0, 0, 0, 0, 0.6, 0.55, 0.84, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 0, 0.6, 0.55, 0.84, 0.1, 0, 0, 0, 0, 1, 0.55, 0.55, 0.8, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 0, 0.55, 0.55, 0.72, 0.1, 0, 0, 0, 0, 1, 0.55, 0.5, 0.76, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.55, 0.5, 0.76, 0.1, 0, 0, 0, 0, 0, 0.55, 0.55, 0.72, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 1, 0.6, 0.5, 0.72, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.6, 0.1, 0, 0, 0, 0	0	4,-2,0
0.05263158, 0, 0, 0.55, 0.5, 0.6, 0.1, 0, 0, 0, 0, 1, 0.6, 0.5, 0.72, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.6, 0.5, 0.64, 0.1, 0, 0, 0, 0, 1, 0.6, 0.45, 0.52, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.6, 0.45, 0.52, 0.1, 0, 0, 0, 0, 0, 0.6, 0.5, 0.64, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.6, 0.4, 0.64, 0.1, 0, 0, 0, 0, 0, 0.6, 0.45, 0.36, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.6, 0.45, 0.36, 0.1, 0, 0, 0, 0, 1, 0.6, 0.4, 0.64, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.6, 0.4, 0.56, 0.1, 0, 0, 0, 0, 1, 0.6, 0.35, 0.28, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.6, 0.35, 0.28, 0.1, 0, 0, 0, 0, 0, 0.6, 0.4, 0.56, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 1, 0.65, 0.35, 0.52, 0.1, 1, 0, 0, 0, 0, 0.6, 0.35, 0.28, 0.1, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 0, 0.6, 0.35, 0.28, 0.1, 0, 0, 0, 0, 1, 0.65, 0.35, 0.52, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 0, 0.65, 0.35, 0.52, 0.1, 1, 0, 0, 0, 1, 0.7, 0.35, 0.24, 0.1, 1, 0, 0, 0	1	0,2,-4
0.05263158, 0, 1, 0.7, 0.35, 0.24, 0.1, 1, 0, 0, 0, 0, 0.65, 0.35, 0.52, 0.1, 1, 0, 0, 0	0	-2,0,2
0.05263158, 0, 1, 0.65, 0.35, 0.52, 0.05, 1, 0, 0, 0, 0, 0.7, 0.35, 0.24, 0.05, 1, 0, 0, 0	2	4,-2,0
0.05263158, 0, 0, 0.7, 0.35, 0.24, 0.05, 1, 0, 0, 0, 1, 0.65, 0.35, 0.52, 0.05, 1, 0, 0, 0	2	4,-2,0
0.05263158, 0, 0, 0.65, 0.35, 0.48, 0.05, 1, 0, 0, 0, 1, 0.7, 0.35, 0.24, 0.05, 1, 0, 0, 0	0	-2,0,2
0.05263158, 0, 1, 0.7, 0.35, 0.24, 0.05, 1, 0, 0, 0, 0, 0.65, 0.35, 0.48, 0.05, 1, 0, 0, 0	1	0,2,-2
0.1578947, 0, 1, 0.6, 0.35, 0.48, 0.05, 1, 0, 0, 0, 0, 0.75, 0.35, 0.24, 0.05, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.75, 0.35, 0.24, 0.05, 0, 0, 0, 0, 1, 0.6, 0.35, 0.48, 0.05, 1, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.6, 0.4, 0.48, 0.05, 1, 0, 0, 0, 1, 0.6, 0.25, 0.24, 0.05, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.6, 0.25, 0.24, 0.05, 0, 0, 0, 0, 0, 0.6, 0.4, 0.48, 0.05, 1, 0, 0, 0	1	-2,0,2
0.05263158, 0, 1, 0.55, 0.25, 0.44, 0.05, 0, 0, 0, 0, 0, 0.6, 0.25, 0.2, 0.05, 0, 0, 0, 0	0	0,2,-2
0.05263158, 0, 0, 0.6, 0.25, 0.2, 0.05, 0, 0, 0, 0, 1, 0.55, 0.25, 0.44, 0.05, 0, 0, 0, 0	0	0,2,-2
0, 0.05263158, 0, 0.55, 0.25, 0.4, 0.05, 0, 0, 0, 0, 1, 0.55, 0.3, 0.16, 0.05, 0, 0, 0, 0	0	0,2,-2
0, 0.05263158, 1, 0.55, 0.3, 0.16, 0.05, 0, 0, 0, 0, 0, 0.55, 0.25, 0.4, 0.05, 0, 0, 0, 0	0	0,2,-2
0, 0.05263158, 1, 0.55, 0.35, 0.36, 0.05, 1, 0, 0, 0, 0, 0.55, 0.3, 0.16, 0.05, 0, 0, 0, 0	0	-2,0,2
0, 0.05263158, 0, 0.55, 0.3, 0.16, 0.05, 0, 0, 0, 0, 1, 0.55, 0.35, 0.36, 0.05, 1, 0, 0, 0	1	0,2,-2
0, 0.05263158, 0, 0.55, 0.35, 0.36, 0.05, 1, 0, 0, 0, 1, 0.55, 0.4, 0.12, 0.05, 1, 0, 0, 0	1	0,2,-2
0, 0.05263158, 1, 0.55, 0.4, 0.12, 0.05, 1, 0, 0, 0, 0, 0.55, 0.35, 0.36, 0.05, 1, 0, 0, 0	0	-2,0,2
0, 0.05263158, 1, 0.55, 0.35, 0.36, 0.05, 1, 0, 0.7, 0.8, 0, 0.55, 0.4, 0.12, 0.05, 1, 0, 0.7, 0.8	2	2,-2,0
0, 0.05263158, 0, 0.55, 0.4, 0.12, 0.05, 1, 0, 0.7, 0.8, 1, 0.55, 0.35, 0.36, 0.05, 1, 0, 0.7, 0.8	2	2,-2,0
0, 0.05263158, 0, 0.55, 0.35, 0.36, 0.05, 0, 0, 0.7, 0.8, 1, 0.55, 0.4, 0.04, 0.05, 1, 0, 0.7, 0.8	0	2,-2,0
0, 0.05263158, 1, 0.55, 0.4, 0.04, 0.05, 1, 0, 0.7, 0.8, 0, 0.55, 0.35, 0.36, 0.05, 0, 0, 0.7, 0.8	2	0,2,-2
0.05263158, 0, 1, 0.6, 0.4, 0.32, 0.05, 0, 0, 0.7, 0.8, 0, 0.55, 0.4, 0, 0.05, 0, 0, 0.7, 0.8	0	0,2,-2
0.05263158, 0, 0, 0.55, 0.4, 0, 0.05, 0, 0, 0.7, 0.8, 1, 0.6, 0.4, 0.32, 0.05, 0, 0, 0.7, 0.8	0	0,2,-2
0, 0.05263158, 1, 0.55, 0.45, 1, 0.1, 0, 0, 0, 0, 0, 0.55, 0.5, 0.84, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.55, 0.5, 0.84, 0.1, 0, 0, 0, 0, 1, 0.55, 0.45, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.55, 0.45, 0.92, 0.1, 0, 0, 0, 0, 1, 0.6, 0.45, 0.76, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 1, 0.6, 0.45, 0.76, 0.1, 0, 0, 0, 0, 0, 0.55, 0.45, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.6, 0.4, 0.88, 0.1, 1, 0, 0, 0, 0, 0.6, 0.45, 0.76, 0.1, 0, 0, 0, 0	0	-2,0,2
0, 0.05263158, 0, 0.6, 0.45, 0.76, 0.1, 0, 0, 0, 0, 1, 0.6, 0.4, 0.88, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.1578947, 0, 0.6, 0.45, 0.88, 0.1, 1, 0, 0, 0, 1, 0.6, 0.3, 0.76, 0.1, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 1, 0.6, 0.3, 0.76, 0.1, 0, 0, 0, 0, 0, 0.6, 0.45, 0.88, 0.1, 1, 0, 0, 0	1	-2,0,2
0.05263158, 0, 0, 0.6, 0.45, 0.84, 0.1, 1, 0, 0, 0, 1, 0.65, 0.45, 0.76, 0.1, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 1, 0.65, 0.45, 0.76, 0.1, 0, 0, 0, 0, 0, 0.6, 0.45, 0.84, 0.1, 1, 0, 0, 0	1	0,2,-4
0.1578947, 0, 1, 0.55, 0.45, 0.84, 0.1, 1, 0, 0, 0, 0, 0.7, 0.45, 0.76, 0.1, 0, 0, 0, 0	1	-2,0,2
0.1578947, 0, 0, 0.7, 0.45, 0.76, 0.1, 0, 0, 0, 0, 1, 0.55, 0.45, 0.84, 0.1, 1, 0, 0, 0	1	-2,0,2
0, 0.05263158, 0, 0.55, 0.45, 0.84, 0.1, 1, 0, 0, 0, 1, 0.55, 0.4, 0.76, 0.15, 0, 0, 0, 0	1	4,-2,0
0, 0.05263158, 1, 0.55, 0.4, 0.76, 0.15, 0, 0, 0, 0, 0, 0.55, 0.45, 0.84, 0.1, 1, 0, 0, 0	2	-2,0,2
0.05263158, 0, 1, 0.6, 0.4, 0.84, 0.1, 0, 0, 0, 0, 0, 0.55, 0.4, 0.6, 0.15, 0, 0, 0, 0	0	4,-1,1
0.05263158, 0, 0, 0.55, 0.4, 0.6, 0.15, 0, 0, 0, 0, 1, 0.6, 0.4, 0.84, 0.1, 0, 0, 0, 0	2	1,2,-4
0, 0.05263158, 0, 0.6, 0.4, 0.72, 0.1, 0, 0, 0, 0, 1, 0.6, 0.45, 0.52, 0.15, 0, 0, 0, 0	0	-1,1,-6
0, 0.05263158, 1, 0.6, 0.45, 0.52, 0.15, 0, 0, 0, 0, 0, 0.6, 0.4, 0.72, 0.1, 0, 0, 0, 0	0	1,2,-4
0.05263158, 0, 1, 0.65, 0.45, 0.72, 0.1, 0, 0, 0, 0, 0, 0.6, 0.45, 0.36, 0.15, 0, 0, 0, 0	0	4,-1,1
0.05263158, 0, 0, 0.6, 0.45, 0.36, 0.15, 0, 0, 0, 0, 1, 0.65, 0.45, 0.72, 0.1, 0, 0, 0, 0	2	1,2,-4
0, 0.05263158, 0, 0.65, 0.45, 0.72, 0.1, 0, 0, 0, 0, 1, 0.65, 0.5, 0.2, 0.15, 0, 0, 0, 0	0	4,-1,1
0, 0.05263158, 1, 0.65, 0.5, 0.2, 0.15, 0, 0, 0, 0, 0, 0.65, 0.45, 0.72, 0.1, 0, 0, 0, 0	2	1,2,-4
0.05263158, 0, 1, 0.7, 0.5, 0.68, 0.1, 1, 0, 0, 0, 0, 0.65, 0.5, 0.2, 0.15, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 0, 0.65, 0.5, 0.2, 0.15, 0, 0, 0, 0, 1, 0.7, 0.5, 0.68, 0.1, 1, 0, 0, 0	1	1,2,-4
0, 0.05263158, 0, 0.7, 0.5, 0.68, 0.1, 1, 0, 0, 0, 1, 0.7, 0.55, 0.2, 0.2, 0, 0, 0, 0	1	4,-1,1
0, 0.05263158, 1, 0.7, 0.55, 0.2, 0.2, 0, 0, 0, 0, 0, 0.7, 0.5, 0.68, 0.1, 1, 0, 0, 0	2	-1,0,1
0, 0.1578947, 1, 0.7, 0.45, 0.68, 0.1, 1, 0, 0, 0, 0, 0.7, 0.6, 0.2, 0.2, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.7, 0.6, 0.2, 0.2, 0, 0, 0, 0, 1, 0.7, 0.45, 0.68, 0.1, 1, 0, 0, 0	1	-1,0,2
0.05263158, 0, 0, 0.7, 0.45, 0.52, 0.1, 0, 0, 0, 0, 1, 0.75, 0.45, 0.12, 0.2, 0, 0, 0, 0	0	-2,1,-8
0.05263158, 0, 1, 0.75, 0.45, 0.12, 0.2, 0, 0, 0, 0, 0, 0.7, 0.45, 0.52, 0.1, 0, 0, 0, 0	0	2,2,-4
0, 0.1578947, 1, 0.75, 0.35, 0.52, 0.1, 0, 0, 0, 0, 0, 0.75, 0.5, 0.12, 0.2, 0, 0, 0, 0	1	-2,0,2
0, 0.1578947, 0, 0.75, 0.5, 0.12, 0.2, 0, 0, 0, 0, 1, 0.75, 0.35, 0.52, 0.1, 0, 0, 0, 0	1	-1,0,2
0.05263158, 0, 0, 0.75, 0.35, 0.36, 0.1, 0, 0, 0, 0, 1, 0.7, 0.35, 0.04, 0.2, 0, 0, 0, 0	0	-2,1,-8
0.05263158, 0, 1, 0.7, 0.35, 0.04, 0.2, 0, 0, 0, 0, 0, 0.75, 0.35, 0.36, 0.1, 0, 0, 0, 0	0	2,2,-4
0, 0.05263158, 1, 0.7, 0.4, 0.32, 0.1, 0, 0, 0, 0, 0, 0.7, 0.35, 0, 0.2, 1, 0, 0, 0	1	-2,1,-8
0, 0.05263158, 0, 0.7, 0.35, 0, 0.2, 1, 0, 0, 0, 1, 0.7, 0.4, 0.32, 0.1, 0, 0, 0, 0	0	-1,0,2
0.05263158, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0, 0, 0.5, 0.55, 0.84, 0.1, 0, 0, 0, 0	0	4,-2,0
0.05263158, 0, 0, 0.5, 0.55, 0.84, 0.1, 0, 0, 0, 0, 1, 0.55, 0.55, 1, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.55, 0.55, 0.92, 0.1, 0, 0, 0, 0, 1, 0.6, 0.55, 0.76, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 1, 0.6, 0.55, 0.76, 0.1, 0, 0, 0, 0, 0, 0.55, 0.55, 0.92, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0, 0, 0.6, 0.55, 0.6, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.6, 0.55, 0.6, 0.1, 0, 0, 0, 0, 1, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0, 1, 0.6, 0.45, 0.44, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 1, 0.6, 0.45, 0.44, 0.1, 0, 0, 0, 0, 0, 0.6, 0.5, 0.92, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 1, 0.65, 0.45, 0.92, 0.1, 0, 0, 0, 0, 0, 0.6, 0.45, 0.28, 0.1, 0, 0, 0, 0	0	4,-2,0
0.05263158, 0, 0, 0.6, 0.45, 0.28, 0.1, 0, 0, 0, 0, 1, 0.65, 0.45, 0.92, 0.1, 0, 0, 0, 0	2	0,2,-4
0.05263158, 0, 0, 0.65, 0.45, 0.84, 0.1, 0, 0, 0, 0, 1, 0.7, 0.45, 0.2, 0.1, 0, 0, 0, 0	0	0,2,-4
0.05263158, 0, 1, 0.7, 0.45, 0.2, 0.1, 0, 0, 0, 0, 0, 0.65, 0.45, 0.84, 0.1, 0, 0, 0, 0	0	0,2,-4
0, 0.05263158, 1, 0.7, 0.5, 0.84, 0.1, 0, 0, 0, 0, 0, 0.7, 0.45, 0.04, 0.1, 0, 0, 0, 0	0	4,-2,0
0, 0.05263158, 0, 0.7, 0.45, 0.04, 0.1, 0, 0, 0, 0, 1, 0.7, 0.5, 0.84, 0.1, 0, 0, 0, 0	2	0,2,-4
0, 0.05263158, 0, 0.7, 0.5, 0.8, 0.1, 1, 0, 0, 0, 1, 0.7, 0.55, 0.04, 0.1, 0, 0, 0, 0	0	-2,0,2
0, 0.05263158, 1, 0.7, 0.55, 0.04, 0.1, 0, 0, 0, 0, 0, 0.7, 0.5, 0.8, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 1, 0.7, 0.5, 0.8, 0.1, 1, 0, 0, 0, 0, 0.7, 0.55, 0, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 0, 0.7, 0.55, 0, 0.1, 1, 0, 0, 0, 1, 0.7, 0.5, 0.8, 0.1, 1, 0, 0, 0	0	-2,0,2
0.05263158, 0, 1, 0.55, 0.55, 0.96, 0.1, 1, 0, 0, 0, 0, 0.5, 0.55, 1, 0.1, 0, 0, 0, 0	0	-2,0,2
0.05263158, 0, 0, 0.5, 0.55, 1, 0.1, 0, 0, 0, 0, 1, 0.55, 0.55, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 0, 0.55, 0.55, 0.96, 0.1, 1, 0, 0, 0, 1, 0.55, 0.6, 0.96, 0.1, 1, 0, 0, 0	1	0,2,-4
0, 0.05263158, 1, 0.55, 0.6, 0.96, 0.1, 1, 0, 0, 0, 0, 0.55, 0.55, 0.96, 0.1, 1, 0, 0, 0	0	-2,0,2
0, 0.05263158, 1, 0.55, 0.55, 0.96, 0.05, 1, 0, 0, 0, 0, 0.55, 0.6, 0.96, 0.05, 1, 0, 0, 0	2	4,-2,0
